,workflow,nodes,networkspeed,filesystem,localData,tasksByNode,cpuHoursByNode
139,chain,4,1,ceph,0.032037315308532544,0.044999999990999996,0.05210211420996034
140,chain,4,1,ceph,0.029998368928163936,0.029999999994,0.03320856837761359
141,chain,4,1,nfs,0.03355392482323371,0.0574999999885,0.061360548301727304
142,chain,4,1,nfs,0.05710755489493228,0.0524999999895,0.0639323951490305
143,chain,4,1,nfs,0.020457717412091975,0.024999999995,0.019738951248278774
144,chipseq,4,1,ceph,0.008634127982019148,0.02919140514527349,0.0022079556676930165
145,chipseq,4,1,ceph,0.0022336900843904174,0.008128357364906663,0.0019918347708575293
146,chipseq,4,1,ceph,0.005607240933413043,0.016468758834984804,0.0016700776662185775
147,chipseq,4,1,nfs,0.007807159121641317,0.01505513146717495,0.0035552990909547607
148,chipseq,4,1,nfs,0.00894758130291862,0.02777777777746364,0.0037970533319301343
149,chipseq,4,1,nfs,0.0068441357305249785,0.018730562623480572,0.0032081838898421694
150,fork,4,1,ceph,0.028846076803790803,0.03712871285658269,0.03636583760988126
151,fork,4,1,ceph,0.0576923076697664,0.06683168314184884,0.08286061774302311
152,fork,4,1,ceph,0.05769225177744306,0.06683168314184884,0.07426075502431231
153,fork,4,1,nfs,0.057692225980983086,0.06683168314184884,0.06516963004898081
154,fork,4,1,nfs,0.057692228847265,0.06683168314184884,0.06401741445681093
155,fork,4,1,nfs,0.057692293338400376,0.06683168314184884,0.06499885709411299
156,group,4,1,ceph,0.009556980100336069,0.022388059694809535,0.04583223009393101
157,group,4,1,ceph,0.04459783096484489,0.03731343282468256,0.02817401156770976
158,group,4,1,ceph,0.017317740117999154,0.02611940297727779,0.049284045845527945
159,group,4,1,nfs,0.05992305950209124,0.041044776107150814,0.05179857966431045
160,group,4,1,nfs,0.08794607790205825,0.07462686564936512,0.08632171325072192
161,group,4,1,nfs,0.03574498586197581,0.022388059694809535,0.03896803006333976
162,groupMultiple,4,1,ceph,0.02403437536274471,0.00937499999765625,0.01824538968502632
163,groupMultiple,4,1,ceph,0.0401368513318108,0.0499999999875,0.08882464852919575
164,groupMultiple,4,1,ceph,0.037567316253575976,0.02499999999375,0.029735661763606633
165,groupMultiple,4,1,nfs,0.029769134456525178,0.03437499999140625,0.04215327283303918
166,groupMultiple,4,1,nfs,0.038707815165889635,0.04062499998984375,0.04140015073263862
167,groupMultiple,4,1,nfs,0.04621738920843206,0.05312499998671875,0.06979661270720029
168,allIntoOne,6,1,ceph,0.5396515231374659,0.05115511548116197,0.5676715481844243
169,allIntoOne,6,1,ceph,0.5395322431070717,0.05115511548116197,0.5709704860822398
170,allIntoOne,6,1,ceph,0.540069697670111,0.047854785450119265,0.5713764977915557
171,allIntoOne,6,1,nfs,0.5438096108169648,0.06435643560533282,0.5685085690406514
172,allIntoOne,6,1,nfs,0.5462392188814595,0.06765676563637553,0.5846482090411478
173,allIntoOne,6,1,nfs,0.5360990868327097,0.05115511548116197,0.5770879335115808
